start	end	text
208784	214350	Ja, echt?
214410	215451	Zo.
215491	218474	Ik heb ook disaronno gekocht voor thuis.
218494	218815	Lekker.
218855	219615	Voor thuis?
219655	220897	Ja.
220917	222579	Oké.
222659	223780	Niet voor onderweg.
226021	230666	Hey lieve kijkers, welkom bij weer een splintnieuwe aflevering van Dumpert reten.
230706	236212	Vandaag is het... Nee, nou ziek je mijn hele aankondiging.
236252	237433	Ik zat er net zo lekker in.
237453	239495	Ik heb dit thuis geoefend.
239855	245561	Vandaag met Willem Treur, die tevens de presentatie op zich neemt.
245581	247423	En waar kunnen we Willem Treur van kennen?
247523	250847	Van Dumpert reten, wat een goede aflevering was het.
250867	252028	Kun je dat in één slok?
252008	254090	Ja, maar zo bijzonder is dat niet.
254110	255152	Atte, een atje heet dat.
255172	256353	Dat is een heel bekend fenomeen.
256393	259317	Iedere student doet het zevenduizend keer tijdens de studie.
259337	260258	Nee, het was meer in één slok.
260278	261599	Een atje is in één slok.
261619	263041	Dat is wat een atje is.
263061	264222	Anders neem je gewoon een slok.
264243	269008	Ik zat toen de montage terug te kijken en toen zag ik dat ik je echt ongelooflijk door het slijk aan het halen was.
269028	270330	En toen reageerde je zo sportief.
270350	272152	Ik denk, zoiets heb ik echt nog nooit gezien.
272172	277098	Sindsdien heb ik ook, in tegenstelling tot voor die vorige uitzending, heel erg veel respect voor je.
277118	277759	Nou, wat lief.
277779	278700	Nou, de scheeuwelisatie.
278720	280622	Maar je mag me best afzijken hoor.
280642	281543	Dat heb ik liever niet.
282788	298531	Oké jongens, gooi er een paar filmpjes in want het is al... Even een bijenest verwijderen, oh shit.
298611	300554	Hier kun je toch dood aan gaan?
300594	305822	Je denkt dat dit iemand van de Ku Klux Klan is die je dat combineert met bijen houden?
305842	309467	Ik had ook een grapje gemaakt, ik zei, de video is al voorbij.
309968	310669	Oh fuck.
312725	318878	Ik denk dat je na drie van die flesjes allemaal dubbele tong begint te spreken.
318898	320161	Nog meer bijen?
320181	331565	Dit hoort erbij.
331766	333349	Jullie getal onder de tien.
334645	337712	Ja, is voor u. Zit die gozer van Akta aan de Munich?
337772	341560	Is Thomas Akta?
344467	345870	Hij is gewoon niet bang.
346694	348256	Dat lijkt een beetje erop als een kipkluif.
348296	349417	Oh, wat een goed dumpertfilmpje.
349437	350378	Daar gebeurt niks.
350439	351660	Nee, maar dit is cool.
351680	353022	Want hoe kan dit?
353042	354724	Waarom wordt hij niet gestoken?
354744	356005	Ik vind het heel anticlimactisch.
356025	361212	Ik vind het niet super indrukwekkend dat iemand die met bijen werkt, ja, en durft om met bijen te werken.
361232	361832	Oh, kijk eens.
361852	363414	Die imker die pakt een bijenest.
363454	364135	Zo, hé.
364195	366338	Kijk, die brandweer is een brandend huis binnen gaan.
366378	367479	Hé, een arrestatieteam.
367499	370423	Die loopt zo op een crimineel af.
370443	372626	Volgende.
372666	373387	Wat is dit?
373407	374608	Oh, kijk.
377457	378198	kom ik ervoor.
378259	382346	Zo hé.
382366	386233	Moest jij niet ook denken aan dat extreem iconische filmpje, waarbij je er een... Ja, die dikke.
386274	386895	Die dunne.
386935	390522	Ja.
390542	391423	Het is zo heftig.
391523	395311	Je ziet ook daarna dat hij slechter been is, direct al, want hij zakt meteen in elkaar.
399218	400360	Hij is gelucieel, Werner.
400390	403694	man, 21 opgepakt naar geweld op station Hoorn.
403714	409420	De politie heeft donderdag een 21-jarige man uit Hoorn opgepakt na een geweld incident op station Hoorn.
409440	413245	Dat is irritant hè, als ze gewoon in de eerste zin hetzelfde zetten als in de titel.
413265	420813	De verdachte werd door meerdere personen onder controle gebracht.
420833	422775	De verdachte onder controle brengen.
422835	424918	Vijf reten.
424938	429503	Nou kijk, nu komen we in mijn territorium.
441768	443570	Oh, ze gaat hem inslikken.
443590	444512	Dit gaat niet zo eng.
444692	445413	Dit wordt heel eng.
445433	446014	Ik weet het nu al.
446034	447215	Dit wordt afschuwelijk eng.
447235	449899	Er gaat hier iets met glas en bloed.
456928	457769	Oh nee.
457789	459351	Oh wow.
459371	461474	Hey, mami.
461494	465279	Oh my god.
465299	465520	Oh my god.
465540	468664	Jezus, die titel, die tweede.
468684	469665	Fake.
473273	476345	Maar is dit dan het animatie team?
476365	479638	Ja, dit is op de camping in Frankrijk.
483432	489502	Het is wel keurig hoe schoon ze dat dan maken altijd, hè?
489522	491105	Tjupa, tjupa, tjupa!
491125	492567	Tjupa, tjupa!
492607	495251	Dat zeiden de Marokkanen in de kast vroeger ook tegen mij altijd.
495412	496634	Tjupie, tjupie.
496654	498256	Tjupie, tjupie.
498276	498477	Vijf eten.
498497	499458	Tjupa, tjupa, tjupa!
499518	501301	Wat vind jij hier nou zo leuk aan?
501321	502303	Nou, ik vind het wel knap.
502323	504206	Ik vind dat ze een goede techniek hebben.
504406	505188	Ongelooflijk knap.
505208	507692	Ze drinkt een glas drinken op.
507712	508393	Fantastisch.
508373	509835	Wat lopen jullie nou zuur te doen?
509855	512539	Het is toch heer?
512559	516804	Weet je, je kan het manno toch ook niet kwalijk nemen als je ziet wat vrouwen doen.
516864	519027	Wij zijn ook maar slachtoffer wat dat betreft.
519067	520049	Drie reten.
520069	522772	Is dit weer omdat je een kort rokje aan hebt, moet je worden verkroogd?
522792	525676	Precies, vier reten.
525696	526197	Wat gebeurt hier?
526237	535209	Trillend zuipen.
535229	537452	Dit is zo'n filmpje dat is leuk als je erbij bent.
537972	547867	Ik begon, ik moest net bijna geniken, maar ik voel zo'n weerstand om hierom te lachen.
547888	548749	Geen kots.
548869	551513	Engel.
551533	553657	Ja, ik word hier een beetje verdrietig van.
553697	555199	Wat raak je dan zo?
555359	557803	De tato's en de crocs.
560062	562666	Wat is er nou zo grappig aan op zo'n plaat zitten?
562686	563867	Wordt iets gestimuleerd?
564729	567212	Oh, weet je dat niet?
567272	570737	Steken twee zulke dildo's uit, daar zitten ze op.
570777	575324	Hoe denk je dat ze zo trillen?
575784	580230	Hoe denk je anders dat ze dat geluid maken?
580250	582053	Judith, we zitten op jouw knie.
588648	615246	dit is toch vet grappig laat nog eens, laat nog eens kijken misschien is het inderdaad wel grappig want zoals jullie weten ben ik kots vanaf nu dat we zitten op jouw knie oh ja ik denk dat ze het zelf een hele grappige filmpje de wezen zijn brilig, de staren maken uit z'n neer en die stijlige kackelen kackelen uit z'n neer
616525	645722	die gast, die is geweldig, die is geweldig ik moet wel lachen, dat geef ik toe, maar dit is zo fucking goor jezelf een facial geven, vijf reten doe dagelijks vier reten
646073	647512	reten.
648487	653912	macho-hoogkamer.
653932	656615	Toen heeft René wat doodsbedreigingen gehad, hè René?
656635	657436	Oh ja.
657456	657616	Serieus?
657636	659037	Ja, ik zei kampermuziek.
659057	659698	Oh, dat is slim.
659718	660238	Beledigend.
660258	662180	Dat is slim.
662200	667625	Iedereen weet dat na de Hells Angels de eerstevolgende groep, die je echt niets moet beledigen, de kamper zijn.
667645	669367	Wat een schitterende cultuur hebben jullie.
669747	671569	En ik loop zelf ook heel graag in een versartje.
671589	674112	Sterker nog, ik heb nu een versartje jeans aan.
674492	676654	Het kamp is top.
677798	683426	maar ik denk dat kampers gewoon beledigd waren, dat ik Mart Hoogkamer's muziek, kampermuziek noemde.
683446	684308	Ja, doe dat dan ook niet.
684969	694303	Kampers houden van jazz, dat weet iedereen.
694323	699891	Nee, nee, nee, nee, nee, nee, nee, nee, nee, nee, nee, nee, nee, nee, nee, nee, nee, nee, nee, nee, nee, nee, nee, nee, nee, nee, nee, nee, nee, nee, nee, nee, nee, nee, nee, nee, nee, nee, nee, nee, nee, nee, nee, nee, nee, nee, nee, nee, nee, nee, nee, nee, nee, nee, nee
703516	719719	is dit op het woonwagenkamp?
723378	727105	Oh, maar dat vindt ze ook wel weer heel extreem aanpakken.
727145	732035	Als je de macht hebt om mensen aan te wijzen die dan vervolgens in het schafot worden gesmeten.
732055	738728	Ja, dat zou me heel enthousiast maken ook.
738748	740692	Oké, en hoe gaat het verder?
740732	744179	Van die jongen is nooit meer wat vernomen.
744199	745842	Mart Marskramer.
754900	755701	Oh, nog één.
755721	766897	Wordt deze er ook uitgezet.
766937	768940	En waarom is dit ol en die andere niet ol?
768960	779715	Ik denk dat hij eruit wordt gezet omdat hij te jong is om een vier te gooien.
779735	783861	Ik vind, als hij nu op dit precieze moment dat hij dat zei,
784111	789279	Vol een biertje in z'n gezicht had gehad, dan was dit echt vijf reten geweest.
789339	792684	René, is het niet eens tijd voor een leuke reageursronde?
792704	795428	Ja, dat is het enige wat deze uitzending nog mist.
795608	798212	De regioenstonde!
798272	800636	Geef René ook eens een bierdouche.
800676	806064	Niet bij mij doen, want ik heb fucking dure merkleding.
806084	807887	Weet je wel hoe goed dit is voor je broek?
807907	809770	Ja, en voor je haar!
809830	811232	Hier zat een zak, zie je dat?
812107	815632	Beide lekker bezig, maar Sylvana was op momenten toch weer briljant.
815652	816654	Hulde.
816674	817575	Nou, wat lief.
817595	817896	Ja, leuk.
817916	818917	Ik vind je ook briljant.
818937	819618	Dank je vriendelijk.
819638	823925	Op een hele onopvallende manier.
823965	827650	Ik wilde Paul al terug in de intro, anders stuur ik een boze brief naar die rode.
827831	828391	Doe dan!
828432	829273	Zegt Basso88.
829313	830254	Doe dan!
830294	830855	Kom dan!
830875	836864	Je ziet die rode ook met zijn handen op zijn kruis, op zijn kruis zitten als die foto's van Abbie Hoes langskomen.
836944	838427	Nou, dit is kut.
838447	839608	Ja, nou.
839628	840730	Mooie comment, leuk.
841351	842874	Was het ook echt zo?
842914	862330	Nee Daar reed hij voor Abby Fucking hell Ik weet dat ik vorige keer al gereageerd heb vanwege de edits van Wilco Maar hij is wel on fire teruggekomen voor vakantie zeg Nog even en ik ga Nick niet eens meer missen Kijk, natuurlijk Nick
863255	868628	dat was wel mooi hoe dat zo opgestond was Cil, kunnen we niet gewoon afspreken dat je even showt hoe je nieuwe korte bakje staat?
868648	879154	ja, ik moet zeggen, hij trekt wat omhoog als ik zit ik dacht dat je nu ging zeggen, nee natuurlijk niet, ik ben geen hoer natuurlijk niet, ik ben geen hoer maar zij is gewoon gelijk, nou
879134	881618	De moeilijkste periode van mijn leven was jij daar.
881658	885125	Jij was die boy die je altijd voor me was en stond altijd voor me klaar.
885145	886687	Ik had die spul, was alles kwijt.
886707	888010	Ja, die taar en de wagen poppen op.
888030	890674	Maar jij hebt mij vanaf dag één al mijn hart ontlokt.
890694	892037	Ik voel me heel onbehagelijk.
892057	894762	Is dit een soort culturele appropriatie?
894822	896965	Wat voor een cultuur is ze aan het nadoen?
897006	901834	Dus deze kankerbis komt niet in mijn buurt, want jij wilt echt heel graag die hele kanker klappen.
901915	914752	ik denk als ze nog een paar keer kanker erin gooit dat het dan echt goed zou zijn ja het is nu zeg maar een acht maar nog drie kankers erbij was een negen geweest je bent muziekdocent ook?
914772	915693	klopt.
915794	922843	gitaar, piano het metrum wat ze hier in de tekst heeft zitten is wel echt te staccato
922823	924525	een metrum is niet stakaat.
924545	925326	Zie je, ik heb er ook verstand van.
925346	926787	Ik vind het wel een mooie meisje, jongens.
926807	927648	Ja, is je zo kei.
927748	929490	Ietje is de beste, kom mij niet testen.
929530	933854	Ik shank je moer en je vader ligt daar dood te bloeden op die vieze krankke ploer.
933894	935096	Ik shank ook je moer.
935156	936177	Drie reten.
936197	940962	Wat kan zo'n kavallenjurkje goed tot z'n recht komen als er zo'n meisje in staat te greppen?
940982	951953	Negentien reten.
955173	977890	dit is nou eindelijk gewoon een lekker goed dumpert film zoals dumpert bedoeld is kinderachtig gedrag en het eind ligt met een tik in je noten 4,9 reet dit is ook een idee voor rapper Sjors, vier reten Guus Meeuwers, vijf reten ik snap het niet ik snap het niet
987556	988717	Dit is heel normaal he.
988777	995346	Sommige kinderen hebben een bepaalde vaas, dan zijn ze vrij jong en dan hunen ze zo met hun geslachtdeeltje tegen een balken ofzo, maar dan voelen ze zich veilig.
995366	997348	En dat voelt gewoon heel fijn, dan zijn ze aan het hunen.
997368	999270	Hier zou ik graag nog wat meer over willen leren.
999290	1000071	Heb jij daar iets van gehoord?
1000572	1001073	Wacht, luister.
1001093	1004297	Let nou even op, ze heeft een heel mooi verhaal over kinderbaby-psychologie.
1004337	1006499	Dit is gewoon een heel fief verklater.
1006519	1008061	En heel graag, nee, dat kunnen kinderen niks doen.
1008081	1012266	Babies die neuken met... Ja, dat is normaal, dat is normaal.
1012286	1013728	Dat is heel normaal, dat heet hunen.
1013748	1016972	Ja, en dan hoef je niet als ouders zorg op te maken.
1016952	1022881	het gaat vanzelf er weg en ze doen het alleen in een setting waar ze zich veilig en vertrouwd voelen.
1022901	1024063	Ben je goed in Engels?
1024083	1025445	Nee.
1025505	1026106	Perfect.
1026166	1027227	Ananas in het Engels.
1027247	1029911	Is dat ene-nes of ene-nes?
1029972	1031173	Ene-nes.
1031213	1033717	Pineapple!
1033737	1033837	Haha!
1033877	1036261	Veertien jaren later.
1036281	1037623	Ananas.
1037643	1040067	Weet je ook hoe ze dat in het Engels noemen?
1040087	1040768	Pineapple.
1042070	1043652	Goed.
1043672	1044934	Haha!
1047277	1048259	Ja, ik moest wel lachen.
1048279	1048819	Ja, ik niet.
1048860	1055290	Dit deden wij wel in groep 6 bij elkaar dan vragen.
1055350	1069993	Is het NNS of NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN
1073669	1074290	Wat?
1074310	1076894	Doet me denken aan Road Rage, een spelletje van vroeger.
1076914	1080499	Dan zat je op een motor, dan kreeg je anders verschillende wapens, een ketting of een stok en zo.
1080519	1080740	Oh echt?
1080760	1081401	Dat is niet GTA?
1081441	1082182	Nee, Road Rage.
1082202	1084005	En dan kon je oma's van de weg slaan en zo.
1084025	1084906	Dat is echt fantastisch.
1085647	1089393	Maar is dit een ongeluk of is dit gewoon iemand die zegt van joh... Of ziet-ie hem gewoon niet?
1089413	1090094	Dat kan ook.
1090114	1094040	Ja, maar hij rijdt wel in een ongelooflijke curve daarnaartoe.
1099673	1101376	Weet je wat ook een vet leuke game is?
1101396	1102197	Fall Guys.
1102237	1102858	Fall Guys?
1102979	1104121	Ja, die heb ik uitgespeeld.
1104141	1105623	Fall Guys?
1105643	1106585	In herfst jongens?
1106625	1108468	Zoek maar op.
1108508	1119527	Jezus, oh.
1119807	1122432	Hey, ik voel het benieuwen.
1122452	1123133	Hij beveiligt mij de laatste keer.
1124142	1132229	oké deze gast die is dus gewoon gestopt op de snelweg wil die niet weg en nu wil die chick zijn rijbewijs en dat wil die niet is dat het?
1132269	1138154	die agent als ik dit soort kerels in van die korte broeken zie dan weet ik weer wat ben je nou mee bezig?
1138174	1139335	waarom ik geen korte broeken draag?
1139395	1143499	zelfs Rene zegt niet dat ze het wel goed kunt doen he?
1143519	1152867	laat de burgemeester me komen hier te plaatsen maar er rijden echt geen treinen en dus ze gaan dus blokkeren we kunnen gewoon niet meer naar ons werk toe
1153032	1154053	Toch zitten we er allemaal.
1154073	1156255	Toch zitten we er allemaal.
1156275	1157376	Vijf reten voor onszelf.
1157396	1158678	Jij komt uit Friesland.
1158698	1161721	Heb jij een rode zakdoek aan je auto zitten?
1161741	1163603	Mijn moeder wel.
1163623	1165084	Oh ja?
1165104	1165705	Renée?
1165725	1166185	Vertel eens.
1166285	1168167	Je moeder is een boerenfan.
1168207	1170530	Maar ze heeft het me nu afgehaald en ze vindt dit allemaal te ver gaan.
1170550	1171711	Is ze tegen de regering?
1171731	1176195	Luister, maar ik moet eerlijk zeggen, ik hoor die guy ook en ik hoor ook een beetje zijn... Ik hoor dat accent al.
1176215	1176375	Die guy.
1176395	1177456	Ik hoor zijn accent al.
1177476	1181180	Praat even als een volwassene.
1181200	1181440	Gewoon even.
1181460	1182562	Ik hoor niet deze volwassen kerel.
1182582	1183022	Of deze volwassen man.
1184150	1196629	Ik wil graag een filmpje zien van een schaars geklede vrouw.
1196689	1202518	Het sprookjeslot gaat dicht en ze delen boeken uit... Misschien een gigantisch slot te zijn.
1202538	1209489	Misschien kunnen ze die mensen die buiten slapen in de apel... ...in de echterling het sprookjeslot onderbrengen.
1209509	1211592	Misschien wel eng, maar je hebt wel een dak boven je hoofd.
1215368	1217991	Ik ben laatst ook een keer in de Efteling geweest.
1218011	1219653	Weet je hoe duur het is?
1219693	1222576	Ik had twee toasties met geitenkaas en avocado.
1222596	1224678	Toasties?
1225479	1229383	En dan noem jij, een toastje noem jij zeker een tosje.
1229403	1229964	Leuk.
1230024	1231526	Weet je wel, zo heeft iedereen zijn hobby.
1231566	1233568	En voor deze mensen is dit ook een hobby.
1233588	1234809	Leven en laten leven.
1234910	1236551	Zullen we er nou gelukkig van worden?
1236571	1239314	Voren dacht ik, als ze mij niet weer kotsfilmpjes laten zien.
1239354	1242718	Maar nu denk ik, hadden ze mij gekozen voor weer kotsfilmpjes.
1242778	1244380	Eén vervelingsreet.
1245845	1249350	Kom, René, want anders haal ik het einde van die uitzending niet.
1249370	1262089	Die doos is nu leeg.
1262109	1263110	Dit vind ik wel leuk, hè?
1263150	1264032	Dit vind ik gewoon een leuk film.
1264052	1264933	Mag ik hem nog een keer zien?
1269267	1291832	vrolijk, vijf reten, snelle conclusie, melig, sarcasme, geweld, golf, zes reten, gewoon een reetje erbij
1292403	1293346	maar wat zegt ze nou?
1293366	1295051	ja, en wat heeft hij nou echt gedaan?
1295071	1302092	misschien heeft hij gewoon niet eens ga goed luisteren, wat zegt ze nou?
1302916	1305859	Je gaat geen mensen van zeventig jaar even zeggen wat ze moeten doen.
1305879	1306200	Waarom niet?
1306240	1313748	Als er iemand in de geschiedenis van ooit ever altijd slechte beslissingen heeft gemaakt, zijn dat de mensen die nu zeventig zijn.
1313788	1314348	Dat is wel zo.
1314368	1316811	Dus ik vind dat mensen van zeventig gewoon even hun bek moeten houden.
1316831	1317792	En wat heeft hij gezegd?
1317812	1317992	Allemaal.
1318012	1325160	Misschien heeft hij wel gezegd, hey, misschien moeten we uw bloemetjes een keertje een beetje water geven, want ze zien er wat sip uit.
1325180	1327222	Hoorde ik hem ook nog zachtjes huilen?
1327242	1328924	Ik hoorde volgens mij... Ah, nee!
1328944	1330105	Volgens mij hoorde ik...
1331384	1333948	Oh, ik vind het zielig.
1333988	1338314	Die staat er ook echt zo, maar hij wil niet huilen, want hij staat voor zijn vrienden, weet je wel.
1338334	1340918	Dus hij wil cool blijven.
1340938	1342179	Ja, leuk, leuk.
1342200	1344182	Wel een vrolijk, leuk einde.
1344202	1345184	En weet je wat het hypocriet is?
1345244	1348929	Als je dit filmpje dus één keer ziet, dan denk je, oh, kom op, go ouwe vrouw.
1348949	1353696	Maar als je hem echt een beetje gaat analyseren, dan kom je erachter dat het eigenlijk heel zielig is.
1354587	1356692	Trek de AOW in.
1356752	1357514	Twee reten.
1357574	1361703	Ik wil langs bij deze jongen en dan nemen we een grote goody bag voor je mee.
1361723	1363206	Want jij zit niet fout, lieverd.
1363226	1365652	Of misschien heeft hij wel echt iets zo erg gezegd.
1365692	1368197	Dat weten we eigenlijk niet.
1368217	1369260	Hoe vond je het, Garené?
1369480	1371344	Nou ja, ik vond jou erg goed weer.
1371384	1373148	Je was echt on point hoor.
1373168	1373409	Meen je het?
1373449	1374351	Ja, oprecht.
1374584	1377347	want ik heb wel het idee dat ik niet helemaal aansluiting vind bij het doelgroep.
1377368	1378729	Ja, maar dat zeg je elke keer.
1378769	1380271	Vorige keer ging het ook hartstikke goed.
1380371	1382714	En af en toe moet je ook iets doen wat het doelgroep niet wil.
1382734	1384296	Jij hebt nog geen handtekening hier gezet.
1384316	1385618	O nee, moet ik dat nu dan doen?
1385638	1387100	Dat moet je absoluut gaan doen.
1387120	1387981	Dan doen we dat toch.
1388061	1388502	Ben jij dit?
1388542	1389583	Dat en ik, ja.
1389923	1391806	Zal ik naast jou mijn naam zetten?
1391866	1393228	Heel leuk.
1393268	1395711	Hartje.
1395731	1400196	Dumpert.
1400216	1400777	Ja!
1401078	1403101	Lekker Willem!
1403161	1404202	Bedankt voor het kijken!
1404222	1406365	Ja, en Willem natuurlijk bedankt voor alles!
1406385	1407326	Komt de volgende keer!
1407346	1408909	En we zien jullie gewoon weer de volgende keer!
1408969	1410090	Willem komt nog wel een keer terug!
1410110	1421505	Ja, Willem komt gewoon weer een keertje terug da's!
1421626	1426873	Ik doe er mee!
1426893	1427153	Dus verdreed!
